id,age,sex,pair,question,speaker,type,value
8,550,M,bunny_rabbit,rabbit_caregiver,caregiver,other,20
8,550,M,froggy_frog,frog_caregiver,caregiver,diminutive,50
8,550,M,horsey_horse,horse_caregiver,caregiver,diminutive,71
8,550,M,piggy_pig,pig_caregiver,caregiver,diminutive,41
8,550,M,fishy_fish,fish_caregiver,caregiver,diminutive,50
8,550,M,mousey_mouse,mouse_caregiver,caregiver,diminutive,95
8,550,M,duckie_duck,duck_caregiver2,caregiver,diminutive,60
8,550,M,doggy_dog,dog_caregiver2,caregiver,diminutive,30
8,550,M,birdie_bird,bird_caregiver,caregiver,diminutive,40
8,550,M,dolly_doll,doll_caregiver,caregiver,diminutive,50
8,550,M,teddy_bear,bear_caregiver,caregiver,other,60
8,550,M,blankie_blanket,blanket_caregiver,caregiver,diminutive,85
8,550,M,potty_bathroom,bathroom_caregiver,caregiver,other,60
8,550,M,tummy_stomach,stomach_caregiver,caregiver,other,30
8,550,M,mommy_mom,mom_caregiver,caregiver,diminutive,10
8,550,M,daddy_dad,dad_caregiver,caregiver,diminutive,10
8,550,M,sissy_sister,sister_caregiver,caregiver,other,20
8,550,M,auntie_aunt,aunt_caregiver,caregiver,diminutive,0
8,550,M,nightnight_goodnight,goodnight_caregiver,caregiver,other,50
8,550,M,baabaa_sheep,sheep_child,child,onomatopoeia,0
8,550,M,choochoo_train,train_child,child,onomatopoeia,0
8,550,M,birdie_bird,bird_child,child,diminutive,100
8,550,M,doggy_dog,dog_child2,child,diminutive,100
8,550,M,blankie_blanket,blanket_child,child,diminutive,100
8,550,M,daddy_dad,dad_child,child,diminutive,0
8,550,M,mommy_mom,mom_child,child,diminutive,0
9,554,M,mommy_mom,mom_child,child,diminutive,77
9,554,M,daddy_dad,dad_child,child,diminutive,33
9,554,M,choochoo_train,train_caregiver,caregiver,onomatopoeia,50
9,554,M,vroomvroom_car,car_caregiver,caregiver,onomatopoeia,50
9,554,M,quackquack_duck,duck_caregiver,caregiver,onomatopoeia,50
9,554,M,baabaa_sheep,sheep_caregiver,caregiver,onomatopoeia,74
9,554,M,woofwoof_dog,dog_caregiver,caregiver,onomatopoeia,87
9,554,M,cockadoodledoo_rooster,rooster_caregiver,caregiver,onomatopoeia,88
9,554,M,kitty_cat,cat_caregiver,caregiver,other,86
9,554,M,bunny_rabbit,rabbit_caregiver,caregiver,other,89
9,554,M,froggy_frog,frog_caregiver,caregiver,diminutive,92
9,554,M,horsey_horse,horse_caregiver,caregiver,diminutive,89
9,554,M,piggy_pig,pig_caregiver,caregiver,diminutive,90
9,554,M,fishy_fish,fish_caregiver,caregiver,diminutive,90
9,554,M,mousey_mouse,mouse_caregiver,caregiver,diminutive,89
9,554,M,duckie_duck,duck_caregiver2,caregiver,diminutive,85
9,554,M,doggy_dog,dog_caregiver2,caregiver,diminutive,92
9,554,M,birdie_bird,bird_caregiver,caregiver,diminutive,88
9,554,M,dolly_doll,doll_caregiver,caregiver,diminutive,90
9,554,M,teddy_bear,bear_caregiver,caregiver,other,90
9,554,M,blankie_blanket,blanket_caregiver,caregiver,diminutive,87
9,554,M,potty_bathroom,bathroom_caregiver,caregiver,other,21
9,554,M,tummy_stomach,stomach_caregiver,caregiver,other,21
9,554,M,mommy_mom,mom_caregiver,caregiver,diminutive,98
9,554,M,daddy_dad,dad_caregiver,caregiver,diminutive,97
9,554,M,auntie_aunt,aunt_caregiver,caregiver,diminutive,65
9,554,M,nightnight_goodnight,goodnight_caregiver,caregiver,other,50
9,554,M,teddy_bear,bear_child,child,other,100
9,554,M,vroomvroom_car,car_child,child,onomatopoeia,100
9,554,M,potty_bathroom,bathroom_child,child,other,0
10,580,M,choochoo_train,train_child,child,onomatopoeia,30
10,580,M,vroomvroom_car,car_child,child,onomatopoeia,100
10,580,M,quackquack_duck,duck_child,child,onomatopoeia,51
10,580,M,woofwoof_dog,dog_child,child,onomatopoeia,50
10,580,M,doggy_dog,dog_child2,child,diminutive,50
10,580,M,choochoo_train,train_caregiver,caregiver,onomatopoeia,30
10,580,M,vroomvroom_car,car_caregiver,caregiver,onomatopoeia,100
10,580,M,quackquack_duck,duck_caregiver,caregiver,onomatopoeia,0
10,580,M,baabaa_sheep,sheep_caregiver,caregiver,onomatopoeia,90
10,580,M,woofwoof_dog,dog_caregiver,caregiver,onomatopoeia,0
10,580,M,cockadoodledoo_rooster,rooster_caregiver,caregiver,onomatopoeia,0
10,580,M,kitty_cat,cat_caregiver,caregiver,other,100
10,580,M,froggy_frog,frog_caregiver,caregiver,diminutive,100
10,580,M,horsey_horse,horse_caregiver,caregiver,diminutive,100
10,580,M,piggy_pig,pig_caregiver,caregiver,diminutive,100
10,580,M,duckie_duck,duck_caregiver2,caregiver,diminutive,100
10,580,M,doggy_dog,dog_caregiver2,caregiver,diminutive,100
10,580,M,birdie_bird,bird_caregiver,caregiver,diminutive,100
10,580,M,dolly_doll,doll_caregiver,caregiver,diminutive,100
10,580,M,blankie_blanket,blanket_caregiver,caregiver,diminutive,100
10,580,M,potty_bathroom,bathroom_caregiver,caregiver,other,4
10,580,M,tummy_stomach,stomach_caregiver,caregiver,other,0
10,580,M,mommy_mom,mom_caregiver,caregiver,diminutive,0
10,580,M,daddy_dad,dad_caregiver,caregiver,diminutive,0
10,580,M,sissy_sister,sister_caregiver,caregiver,other,0
10,580,M,nightnight_goodnight,goodnight_caregiver,caregiver,other,0
10,580,M,baabaa_sheep,sheep_child,child,onomatopoeia,0
10,580,M,cockadoodledoo_rooster,rooster_child,child,onomatopoeia,0
10,580,M,mommy_mom,mom_child,child,diminutive,0
10,580,M,daddy_dad,dad_child,child,diminutive,0
10,580,M,sissy_sister,sister_child,child,other,0
10,580,M,kitty_cat,cat_child,child,other,100
10,580,M,froggy_frog,frog_child,child,diminutive,100
10,580,M,horsey_horse,horse_child,child,diminutive,100
10,580,M,teddy_bear,bear_child,child,other,100
10,580,M,duckie_duck,duck_child2,child,diminutive,100
10,580,M,birdie_bird,bird_child,child,diminutive,100
10,580,M,nightnight_goodnight,goodnight_child,child,other,0
10,580,M,tummy_stomach,stomach_child,child,other,0
11,594,M,vroomvroom_car,car_child,child,onomatopoeia,50
11,594,M,mommy_mom,mom_child,child,diminutive,80
11,594,M,daddy_dad,dad_child,child,diminutive,10
11,594,M,choochoo_train,train_caregiver,caregiver,onomatopoeia,50
11,594,M,vroomvroom_car,car_caregiver,caregiver,onomatopoeia,22
11,594,M,quackquack_duck,duck_caregiver,caregiver,onomatopoeia,50
11,594,M,baabaa_sheep,sheep_caregiver,caregiver,onomatopoeia,50
11,594,M,woofwoof_dog,dog_caregiver,caregiver,onomatopoeia,100
11,594,M,cockadoodledoo_rooster,rooster_caregiver,caregiver,onomatopoeia,50
11,594,M,kitty_cat,cat_caregiver,caregiver,other,12
11,594,M,bunny_rabbit,rabbit_caregiver,caregiver,other,0
11,594,M,froggy_frog,frog_caregiver,caregiver,diminutive,100
11,594,M,horsey_horse,horse_caregiver,caregiver,diminutive,100
11,594,M,piggy_pig,pig_caregiver,caregiver,diminutive,100
11,594,M,fishy_fish,fish_caregiver,caregiver,diminutive,100
11,594,M,mousey_mouse,mouse_caregiver,caregiver,diminutive,100
11,594,M,duckie_duck,duck_caregiver2,caregiver,diminutive,100
11,594,M,doggy_dog,dog_caregiver2,caregiver,diminutive,100
11,594,M,birdie_bird,bird_caregiver,caregiver,diminutive,100
11,594,M,teddy_bear,bear_caregiver,caregiver,other,100
11,594,M,blankie_blanket,blanket_caregiver,caregiver,diminutive,100
11,594,M,potty_bathroom,bathroom_caregiver,caregiver,other,50
11,594,M,tummy_stomach,stomach_caregiver,caregiver,other,16
11,594,M,mommy_mom,mom_caregiver,caregiver,diminutive,9
11,594,M,daddy_dad,dad_caregiver,caregiver,diminutive,8
11,594,M,auntie_aunt,aunt_caregiver,caregiver,diminutive,5
11,594,M,nightnight_goodnight,goodnight_caregiver,caregiver,other,100
11,594,M,choochoo_train,train_child,child,onomatopoeia,0
11,594,M,cockadoodledoo_rooster,rooster_child,child,onomatopoeia,0
11,594,M,woofwoof_dog,dog_child,child,onomatopoeia,100
11,594,M,doggy_dog,dog_child2,child,diminutive,100
11,594,M,kitty_cat,cat_child,child,other,0
11,594,M,teddy_bear,bear_child,child,other,100
11,594,M,piggy_pig,pig_child,child,diminutive,100
11,594,M,fishy_fish,fish_child,child,diminutive,100
11,594,M,quackquack_duck,duck_child,child,onomatopoeia,100
11,594,M,duckie_duck,duck_child2,child,diminutive,100
11,594,M,birdie_bird,bird_child,child,diminutive,100
11,594,M,potty_bathroom,bathroom_child,child,other,0
11,594,M,tummy_stomach,stomach_child,child,other,0
12,639,F,quackquack_duck,duck_child,child,onomatopoeia,80
12,639,F,woofwoof_dog,dog_child,child,onomatopoeia,60
12,639,F,kitty_cat,cat_child,child,other,50
12,639,F,bunny_rabbit,rabbit_child,child,other,30
12,639,F,froggy_frog,frog_child,child,diminutive,10
12,639,F,duckie_duck,duck_child2,child,diminutive,50
12,639,F,doggy_dog,dog_child2,child,diminutive,50
12,639,F,birdie_bird,bird_child,child,diminutive,50
12,639,F,dolly_doll,doll_child,child,diminutive,70
12,639,F,potty_bathroom,bathroom_child,child,other,20
12,639,F,choochoo_train,train_caregiver,caregiver,onomatopoeia,90
12,639,F,vroomvroom_car,car_caregiver,caregiver,onomatopoeia,100
12,639,F,quackquack_duck,duck_caregiver,caregiver,onomatopoeia,50
12,639,F,baabaa_sheep,sheep_caregiver,caregiver,onomatopoeia,50
12,639,F,woofwoof_dog,dog_caregiver,caregiver,onomatopoeia,50
12,639,F,cockadoodledoo_rooster,rooster_caregiver,caregiver,onomatopoeia,90
12,639,F,kitty_cat,cat_caregiver,caregiver,other,50
12,639,F,bunny_rabbit,rabbit_caregiver,caregiver,other,40
12,639,F,froggy_frog,frog_caregiver,caregiver,diminutive,90
12,639,F,horsey_horse,horse_caregiver,caregiver,diminutive,60
12,639,F,piggy_pig,pig_caregiver,caregiver,diminutive,10
12,639,F,fishy_fish,fish_caregiver,caregiver,diminutive,100
12,639,F,mousey_mouse,mouse_caregiver,caregiver,diminutive,90
12,639,F,duckie_duck,duck_caregiver2,caregiver,diminutive,90
12,639,F,doggy_dog,dog_caregiver2,caregiver,diminutive,50
12,639,F,birdie_bird,bird_caregiver,caregiver,diminutive,60
12,639,F,dolly_doll,doll_caregiver,caregiver,diminutive,90
12,639,F,teddy_bear,bear_caregiver,caregiver,other,100
12,639,F,blankie_blanket,blanket_caregiver,caregiver,diminutive,50
12,639,F,potty_bathroom,bathroom_caregiver,caregiver,other,51
12,639,F,tummy_stomach,stomach_caregiver,caregiver,other,0
12,639,F,mommy_mom,mom_caregiver,caregiver,diminutive,10
12,639,F,daddy_dad,dad_caregiver,caregiver,diminutive,20
12,639,F,sissy_sister,sister_caregiver,caregiver,other,90
12,639,F,auntie_aunt,aunt_caregiver,caregiver,diminutive,100
12,639,F,nightnight_goodnight,goodnight_caregiver,caregiver,other,10
12,639,F,baabaa_sheep,sheep_child,child,onomatopoeia,0
12,639,F,vroomvroom_car,car_child,child,onomatopoeia,100
12,639,F,choochoo_train,train_child,child,onomatopoeia,100
12,639,F,mommy_mom,mom_child,child,diminutive,0
12,639,F,daddy_dad,dad_child,child,diminutive,0
12,639,F,sissy_sister,sister_child,child,other,0
12,639,F,horsey_horse,horse_child,child,diminutive,100
12,639,F,teddy_bear,bear_child,child,other,100
12,639,F,piggy_pig,pig_child,child,diminutive,0
12,639,F,fishy_fish,fish_child,child,diminutive,100
12,639,F,mousey_mouse,mouse_child,child,diminutive,100
12,639,F,nightnight_goodnight,goodnight_child,child,other,0
12,639,F,tummy_stomach,stomach_child,child,other,0
13,646,M,woofwoof_dog,dog_child,child,onomatopoeia,50
13,646,M,potty_bathroom,bathroom_child,child,other,0
13,646,M,choochoo_train,train_caregiver,caregiver,onomatopoeia,50
13,646,M,vroomvroom_car,car_caregiver,caregiver,onomatopoeia,100
13,646,M,quackquack_duck,duck_caregiver,caregiver,onomatopoeia,50
13,646,M,baabaa_sheep,sheep_caregiver,caregiver,onomatopoeia,100
13,646,M,woofwoof_dog,dog_caregiver,caregiver,onomatopoeia,50
13,646,M,cockadoodledoo_rooster,rooster_caregiver,caregiver,onomatopoeia,0
13,646,M,kitty_cat,cat_caregiver,caregiver,other,100
13,646,M,bunny_rabbit,rabbit_caregiver,caregiver,other,100
13,646,M,froggy_frog,frog_caregiver,caregiver,diminutive,100
13,646,M,horsey_horse,horse_caregiver,caregiver,diminutive,100
13,646,M,piggy_pig,pig_caregiver,caregiver,diminutive,100
13,646,M,fishy_fish,fish_caregiver,caregiver,diminutive,50
13,646,M,mousey_mouse,mouse_caregiver,caregiver,diminutive,100
13,646,M,duckie_duck,duck_caregiver2,caregiver,diminutive,100
13,646,M,doggy_dog,dog_caregiver2,caregiver,diminutive,100
13,646,M,birdie_bird,bird_caregiver,caregiver,diminutive,100
13,646,M,dolly_doll,doll_caregiver,caregiver,diminutive,100
13,646,M,teddy_bear,bear_caregiver,caregiver,other,0
13,646,M,blankie_blanket,blanket_caregiver,caregiver,diminutive,100
13,646,M,potty_bathroom,bathroom_caregiver,caregiver,other,0
13,646,M,tummy_stomach,stomach_caregiver,caregiver,other,0
13,646,M,mommy_mom,mom_caregiver,caregiver,diminutive,0
13,646,M,daddy_dad,dad_caregiver,caregiver,diminutive,0
13,646,M,sissy_sister,sister_caregiver,caregiver,other,100
13,646,M,nightnight_goodnight,goodnight_caregiver,caregiver,other,0
13,646,M,choochoo_train,train_child,child,onomatopoeia,0
13,646,M,quackquack_duck,duck_child,child,onomatopoeia,0
13,646,M,vroomvroom_car,car_child,child,onomatopoeia,100
13,646,M,mommy_mom,mom_child,child,diminutive,0
