x,predicted,std.error,conf.low,conf.high,group,model
40.61,0.7273193242323427,0.0021647666647455835,0.7264770430631006,0.7281599822342045,1,caregiver-full
42.09,0.7312207287103947,0.0021306981800559,0.7303991801905441,0.7320406921902611,1,caregiver-full
42.38,0.7319810434237115,0.002125271197283838,0.7311630552409746,0.7327974522800891,1,caregiver-full
42.55,0.7324261108209257,0.0021222836145568676,0.7316101327008,0.7332405126927263,1,caregiver-full
43.2,0.7341235075057271,0.002112192976821616,0.7333146886423569,0.7349307600269747,1,caregiver-full
44.39,0.7372131961134681,0.0020992679180362136,0.7364153188616698,0.7380095174118093,1,caregiver-full
44.55,0.7376268496718349,0.002098083442299519,0.7368302301870097,0.7384219138268419,1,caregiver-full
44.75,0.7381433262954549,0.00209678847902173,0.7373482081051643,0.7389368896755694,1,caregiver-full
47.05,0.744035480448804,0.0020967910200046596,0.7432520294941097,0.7448173615393292,1,caregiver-full
48.13,0.7467720368281648,0.002106229757880747,0.745990596946962,0.7475518862135242,1,caregiver-full
48.3,0.7472010252512218,0.0021082593333092555,0.7464197067402689,0.7479807492182277,1,caregiver-full
48.66,0.748107882702605,0.0021130414702959944,0.7473266493424395,0.7488875122236363,1,caregiver-full
